Filename,Min,Max,Mean,Median,Std,Dur
B_WHO01_MC_FI_SIM01_201,699.88,2102.91,845.37,763.97,292.00,2.01
B_WHO01_MC_FI_SIM01_202,762.31,956.04,839.70,820.68,54.42,2.00
B_WHO01_MC_FI_SIM01_203,1005.01,1797.95,1112.21,1074.81,184.46,1.29
B_WHO01_MC_FI_SIM01_204,583.91,1047.23,786.95,754.83,117.33,1.97
B_WHO01_MC_FI_SIM01_301,485.63,736.84,676.71,688.75,53.07,1.79
B_WHO01_MC_FI_SIM01_302,291.24,722.78,574.25,617.13,139.53,2.35
B_WHO01_MC_FI_SIM01_304,502.29,994.90,762.35,779.55,144.98,2.00
B_WHO01_MC_FI_SIM01_305,661.94,894.26,818.56,844.01,70.88,1.45
F_BAC01_MC_MN_SIM01_101,690.52,792.23,739.04,737.74,33.84,1.22
F_BAC01_MC_MN_SIM01_102,661.26,1999.31,836.79,769.74,311.22,1.39
F_BAC01_MC_MN_SIM01_103,642.26,1900.58,880.41,692.57,421.57,1.44
F_BAC01_MC_MN_SIM01_104,516.43,2010.41,1085.68,698.10,614.21,1.49
F_BAC01_MC_MN_SIM01_105,206.92,1747.02,458.58,332.96,437.00,1.44
F_BAC01_MC_MN_SIM01_201,630.49,716.13,678.68,683.86,27.16,1.32
F_BAC01_MC_MN_SIM01_202,536.66,711.83,633.71,623.77,58.55,1.39
F_BAC01_MC_MN_SIM01_203,602.02,727.30,682.31,695.73,32.80,1.51
F_BAC01_MC_MN_SIM01_301,569.10,828.42,752.75,801.17,103.01,1.11
F_BAC01_MC_MN_SIM01_302,297.31,1042.18,690.03,750.79,179.66,1.38
F_BAC01_MC_MN_SIM01_303,670.15,769.70,711.81,709.21,31.11,1.36
F_BAC01_MC_MN_SIM01_304,620.04,854.84,707.19,709.81,51.30,1.40
F_BLE01_EU_FN_DEL01_101,913.57,1053.37,987.99,985.15,34.09,1.50
F_BLE01_EU_FN_DEL01_102,868.88,1003.98,937.98,948.50,49.24,1.36
F_BLE01_EU_FN_DEL01_103,758.42,1061.37,934.45,974.29,100.05,1.50
F_BRA01_MC_MN_SIM01_301,353.00,3103.00,875.26,765.46,710.45,1.77
F_BRA01_MC_MN_SIM01_302,403.95,549.38,489.98,493.27,32.72,1.70
F_BRI01_MC_FI_SIM01_101,660.30,926.89,833.18,862.29,77.79,1.65
F_BRI01_MC_FI_SIM01_102,520.32,773.79,649.48,631.08,80.66,1.51
F_BRI01_MC_FI_SIM01_103,793.38,853.22,827.60,831.02,19.07,1.52
F_BRI01_MC_FI_SIM01_104,673.89,842.42,791.40,809.63,50.14,1.52
F_BRI01_MC_FI_SIM01_105,540.37,886.58,712.77,698.38,143.76,1.43
F_BRI01_MC_FI_SIM01_106,524.76,855.51,698.81,693.02,121.04,1.42
F_BRI01_MC_FI_SIM01_201,679.76,825.37,790.49,801.95,32.62,2.06
F_BRI01_MC_FI_SIM01_202,706.42,822.54,781.94,796.31,36.84,1.76
F_CAN01_EU_FN_GIA01_201,446.21,828.60,602.03,591.00,87.88,1.99
F_CAN01_EU_FN_GIA01_202,461.68,810.19,642.57,624.98,98.30,1.90
F_DAK01_MC_FN_SIM01_301,304.54,2370.39,886.58,361.57,755.80,1.60
F_DAK01_MC_FN_SIM01_302,143.91,1545.77,373.32,324.80,321.19,1.60
F_DAK01_MC_FN_SIM01_303,393.66,558.43,469.11,438.87,63.01,1.40
F_DAK01_MC_FN_SIM01_304,108.21,1614.89,344.08,216.13,331.70,1.55
F_IND01_EU_FN_ELI01_101,502.16,801.50,715.26,744.11,78.78,1.81
F_IND01_EU_FN_ELI01_102,625.96,811.64,768.27,787.50,50.91,1.66
F_IND01_EU_FN_ELI01_103,626.17,837.91,780.60,788.23,42.32,1.72
F_IND01_EU_FN_ELI01_104,468.14,811.03,692.20,709.67,77.28,1.42
F_IND01_EU_FN_ELI01_201,664.41,761.06,710.30,700.08,35.86,1.36
F_IND01_EU_FN_ELI01_202,848.18,889.23,864.01,862.18,11.38,1.29
F_IND01_EU_FN_ELI01_203,750.40,854.11,805.00,813.16,35.76,1.35
F_IND01_EU_FN_ELI01_301,713.88,3387.50,961.38,786.25,664.70,1.65
F_IND01_EU_FN_ELI01_302,591.46,860.79,768.81,782.34,62.16,1.92
F_IND01_EU_FN_ELI01_304,604.62,822.24,746.45,770.51,65.06,1.87
F_LEO01_EU_MI_RIT01_101,320.84,736.89,640.18,667.07,102.00,1.47
F_LEO01_EU_MI_RIT01_102,512.52,709.41,654.82,675.73,47.66,1.57
F_LEO01_EU_MI_RIT01_103,575.05,680.48,620.72,621.67,29.90,1.48
F_LEO01_EU_MI_RIT01_104,498.31,632.39,591.77,609.67,40.53,1.68
F_LEO01_EU_MI_RIT01_105,489.02,713.28,634.65,646.05,52.06,1.75
F_MAG01_EU_FN_FED01_101,142.78,580.61,412.31,455.68,121.92,1.65
F_MAG01_EU_FN_FED01_102,143.63,917.20,386.30,434.68,170.05,1.70
F_MAG01_EU_FN_FED01_103,138.64,526.55,423.32,454.81,111.99,1.70
F_MAG01_EU_FN_FED01_104,146.44,1515.31,396.13,434.82,241.15,1.68
F_MAG01_EU_FN_FED01_105,357.87,494.42,453.93,469.42,42.84,1.68
F_MAG01_EU_FN_FED01_106,313.69,492.16,449.28,466.92,48.69,1.58
F_MAG01_EU_FN_FED01_201,384.72,510.98,467.77,479.77,38.31,1.64
F_MAG01_EU_FN_FED01_202,157.25,2056.29,663.85,484.82,521.20,1.62
F_MAG01_EU_FN_FED01_203,318.90,470.66,434.00,448.43,41.69,1.80
F_MAG01_EU_FN_FED01_301,234.73,416.65,349.29,350.26,59.81,1.36
F_MAG01_EU_FN_FED01_302,297.16,484.47,434.67,448.39,50.08,1.62
F_MAG01_EU_FN_FED01_303,280.60,303.77,292.95,293.00,7.23,1.52
F_MAG01_EU_FN_FED01_304,279.62,389.74,359.63,371.02,32.59,1.50
F_MAG01_EU_FN_FED01_305,382.95,421.27,406.87,406.79,10.29,1.69
F_MAT01_EU_FN_RIT01_101,748.28,958.44,804.78,789.79,44.33,2.07
F_MAT01_EU_FN_RIT01_102,553.24,825.77,763.87,783.98,62.92,1.76
F_MAT01_EU_FN_RIT01_103,561.76,806.41,730.76,747.78,60.64,1.88
F_MAT01_EU_FN_RIT01_301,638.37,1043.15,784.18,743.08,120.37,2.21
F_MAT01_EU_FN_RIT01_302,594.56,969.83,744.63,695.83,113.90,1.88
F_MAT01_EU_FN_RIT01_303,634.72,2927.55,1089.46,696.71,787.32,1.83
F_MEG01_MC_FI_SIM01_301,463.79,3184.59,781.46,751.35,474.17,1.45
F_MEG01_MC_FI_SIM01_302,706.50,2171.50,960.14,750.60,486.83,1.42
F_MEG01_MC_FI_SIM01_303,630.38,822.24,688.72,664.42,65.33,1.65
F_MEG01_MC_FI_SIM01_304,689.39,781.21,739.66,761.30,35.21,1.54
F_MIN01_EU_FN_BEN01_101,351.23,2297.12,601.41,449.15,527.29,1.78
F_MIN01_EU_FN_BEN01_102,109.19,453.58,393.49,415.59,83.74,1.91
F_MIN01_EU_FN_BEN01_103,382.49,1816.22,529.70,417.45,366.21,1.50
F_MIN01_EU_FN_BEN01_104,206.13,449.51,325.64,375.90,103.39,1.60
F_REG01_EU_FN_GIO01_201,218.23,752.14,587.98,668.35,161.98,2.07
F_SPI01_EU_MN_NAI01_101,248.06,707.72,517.69,561.67,98.37,1.95
F_SPI01_EU_MN_NAI01_102,414.62,642.88,520.49,528.95,45.98,2.15
F_SPI01_EU_MN_NAI01_103,257.14,619.28,484.28,520.15,104.96,2.09
F_SPI01_EU_MN_NAI01_104,245.53,640.35,453.27,480.59,116.67,2.09
F_SPI01_EU_MN_NAI01_201,255.69,2580.69,723.78,544.87,696.18,2.30
F_SPI01_EU_MN_NAI01_202,225.89,2260.74,396.32,279.91,373.03,1.95
F_SPI01_EU_MN_NAI01_203,478.18,1469.10,549.37,520.90,161.73,2.19
F_SPI01_EU_MN_NAI01_301,480.78,698.79,538.52,538.97,43.64,2.29
F_WHO01_MC_FI_SIM01_101,855.15,964.29,913.06,917.42,30.70,2.04
F_WHO01_MC_FI_SIM01_102,678.57,883.97,839.84,864.37,53.54,1.98
F_WHO01_MC_FI_SIM01_103,551.68,2486.87,1206.28,1125.86,398.98,1.71
F_WHO01_MC_FI_SIM01_301,639.62,1967.66,1093.29,723.64,558.70,1.31
F_WHO01_MC_FI_SIM01_302,66.47,1890.92,864.98,689.58,516.29,1.38
F_WHO01_MC_FI_SIM01_303,613.25,1518.31,789.36,694.95,298.16,1.30
F_WHO01_MC_FI_SIM01_304,923.68,1061.19,1010.76,1011.50,44.12,1.25
F_WHO01_MC_FI_SIM01_306,990.07,1722.30,1157.83,998.63,317.88,1.09
F_WHO01_MC_FI_SIM01_307,974.93,1111.36,1077.49,1085.23,31.39,1.43
I_ANI01_MC_FN_SIM01_101,622.50,738.63,692.14,690.17,29.50,2.05
I_ANI01_MC_FN_SIM01_102,335.46,1584.07,746.19,707.64,247.39,2.45
I_ANI01_MC_FN_SIM01_103,339.35,1887.94,797.59,737.72,291.11,2.62
I_ANI01_MC_FN_SIM01_104,612.25,720.77,676.25,682.83,31.95,2.00
I_BAC01_MC_MN_SIM01_101,619.85,761.59,699.63,703.19,39.49,1.85
I_BAC01_MC_MN_SIM01_102,665.26,735.26,706.63,707.36,21.85,1.59
I_BAC01_MC_MN_SIM01_103,226.56,729.74,661.14,699.84,139.51,1.53
I_BAC01_MC_MN_SIM01_301,609.19,730.71,671.55,672.55,33.34,1.39
I_BAC01_MC_MN_SIM01_302,549.14,685.38,642.60,654.67,36.67,1.27
I_BAC01_MC_MN_SIM01_303,323.46,1915.99,609.18,331.44,533.26,1.22
I_BAC01_MC_MN_SIM10_102,671.15,735.29,707.24,707.51,21.47,1.82
I_BLE01_EU_FN_DEL01_101,521.00,796.33,689.33,693.27,58.21,2.06
I_BLE01_EU_FN_DEL01_102,588.12,782.47,665.35,652.14,53.35,1.98
I_BLE01_EU_FN_DEL01_103,549.03,820.84,668.47,643.85,65.04,1.95
I_BLE01_EU_FN_DEL01_104,505.46,866.82,728.17,726.79,83.58,1.69
I_BLE01_EU_FN_DEL01_105,664.96,872.54,745.48,742.35,58.51,1.64
I_BLE01_EU_FN_DEL01_106,526.40,784.45,680.38,692.23,47.36,1.80
I_BLE01_EU_FN_DEL01_107,695.63,3212.64,974.57,768.54,656.41,1.59
I_BLE01_EU_FN_DEL01_108,492.44,850.45,682.75,671.33,75.80,1.66
I_BLE01_EU_FN_DEL01_109,568.34,2853.77,1060.86,697.71,797.50,1.75
I_BLE01_EU_FN_DEL01_110,560.19,765.08,673.76,677.01,56.32,1.65
I_BLE01_EU_FN_DEL01_201,420.19,945.07,770.82,837.41,147.63,1.95
I_BLE01_EU_FN_DEL01_202,586.07,919.70,738.20,711.20,95.08,2.08
I_BLE01_EU_FN_DEL01_203,521.47,907.83,695.39,656.57,105.14,2.07
I_BLE01_EU_FN_DEL01_204,493.48,2752.30,858.49,650.57,613.69,2.02
I_BLE01_EU_FN_DEL01_205,416.36,810.39,624.74,626.42,101.36,1.92
I_BLE01_EU_FN_DEL01_206,374.17,2839.37,777.97,665.31,549.13,2.10
I_BLE01_EU_FN_DEL01_207,493.66,2852.20,770.94,682.19,376.14,1.91
I_BLE01_EU_FN_DEL01_208,496.94,768.06,639.52,626.84,63.15,1.97
I_BLE01_EU_FN_DEL01_209,424.89,862.97,654.54,638.50,85.57,1.99
I_BLE01_EU_FN_DEL01_210,450.78,868.10,651.85,630.42,86.50,1.93
I_BLE01_EU_FN_DEL01_211,472.56,785.32,630.55,623.35,61.48,1.89
I_BLE01_EU_FN_DEL01_212,480.02,2958.54,649.54,573.91,365.60,2.04
I_BLE01_EU_FN_DEL01_213,420.59,862.77,634.72,612.05,86.73,1.94
I_BLE01_EU_FN_DEL01_214,481.39,2815.35,903.72,674.64,689.90,1.89
I_BLE01_EU_FN_DEL01_215,476.16,2996.93,1394.08,804.41,1001.41,1.77
I_BLE01_EU_FN_DEL01_216,511.19,3086.95,980.81,667.02,816.91,1.82
I_BLE01_EU_FN_DEL01_217,504.13,2687.34,734.35,624.21,444.81,2.00
I_BLE01_EU_FN_DEL01_218,469.02,2694.86,745.98,617.08,488.92,2.93
I_BLE01_EU_FN_DEL01_219,362.17,822.44,643.62,663.79,92.70,1.90
I_BLE01_EU_FN_DEL01_301,474.26,807.97,664.97,657.29,69.62,2.44
I_BLE01_EU_FN_DEL01_302,353.79,784.69,658.75,668.19,96.77,1.97
I_BLE01_EU_FN_DEL01_303,589.97,768.77,680.94,684.06,53.24,1.91
I_BLE01_EU_FN_DEL01_304,526.56,771.40,661.50,658.80,52.50,2.01
I_BLE01_EU_FN_DEL01_305,485.96,756.98,651.43,663.41,71.55,2.09
I_BLE01_EU_FN_DEL01_306,458.17,2321.48,656.36,623.16,240.49,2.24
I_BLE01_EU_FN_DEL01_307,479.57,749.11,655.57,665.88,60.37,1.90
I_BLE01_EU_FN_DEL01_308,453.89,792.11,644.82,659.20,64.80,1.87
I_BLE01_EU_FN_DEL01_309,455.77,750.09,643.01,642.38,62.66,1.94
I_BLE01_EU_FN_DEL01_310,422.31,809.68,659.11,653.77,81.90,1.94
I_BLE01_EU_FN_DEL01_311,459.87,794.87,667.35,664.30,69.65,1.95
I_BLE01_EU_FN_DEL01_401,532.96,901.27,708.82,693.78,79.65,2.40
I_BLE01_EU_FN_DEL01_402,619.77,899.18,736.11,724.04,72.72,1.78
I_BLE01_EU_FN_DEL01_403,240.99,892.17,722.90,769.95,151.64,1.96
I_BLE01_EU_FN_DEL01_404,543.50,828.65,708.53,721.76,55.26,1.94
I_BLE01_EU_FN_DEL01_405,523.13,839.32,694.20,692.84,63.22,2.01
I_BRA01_MC_MN_SIM01_101,582.38,673.57,627.42,613.27,26.46,1.69
I_BRA01_MC_MN_SIM01_102,551.84,3125.90,662.96,603.47,396.27,1.79
I_BRA01_MC_MN_SIM01_103,483.11,629.51,528.96,504.84,45.18,1.89
I_BRA01_MC_MN_SIM01_104,523.48,683.63,587.37,576.93,36.72,2.03
I_BRA01_MC_MN_SIM01_301,558.07,631.75,593.18,591.16,14.72,2.03
I_BRA01_MC_MN_SIM01_302,580.11,1668.29,643.90,606.34,190.31,1.65
I_BRA01_MC_MN_SIM01_303,585.21,648.15,630.09,633.28,14.69,1.58
I_BRA01_MC_MN_SIM01_304,532.55,1786.60,609.58,571.04,224.44,1.59
I_BRA01_MC_MN_SIM01_305,561.81,681.66,636.94,633.34,23.32,1.71
I_BRA01_MC_MN_SIM01_306,585.86,664.60,626.14,624.40,17.01,1.71
I_CAN01_EU_FN_GIA01_101,262.20,2971.24,1049.01,478.87,1111.14,1.46
I_CAN01_EU_FN_GIA01_102,252.24,2976.70,694.30,463.08,835.05,1.39
I_CAN01_EU_FN_GIA01_103,466.45,591.16,526.00,521.26,35.05,1.63
I_CAN01_EU_FN_GIA01_104,351.09,2896.93,836.50,511.00,841.84,1.50
I_CAN01_EU_FN_GIA01_105,441.83,1996.12,763.35,521.53,547.31,1.63
I_CAN01_EU_FN_GIA01_106,462.04,2097.42,629.38,540.66,387.33,1.52
I_CAN01_EU_FN_GIA01_107,429.16,1124.85,556.98,511.94,176.02,1.66
I_CAN01_EU_FN_GIA01_201,428.61,767.74,550.00,526.58,80.34,1.83
I_CAN01_EU_FN_GIA01_202,392.95,643.95,539.29,530.09,57.47,1.82
I_CAN01_EU_FN_GIA01_203,346.23,786.43,509.07,515.50,105.61,1.78
I_CAN01_EU_FN_GIA01_204,428.41,712.83,554.13,557.56,47.77,1.80
I_CAN01_EU_FN_GIA01_205,389.97,649.93,527.30,525.80,49.39,2.30
I_CAN01_EU_FN_GIA01_206,440.87,681.41,551.81,549.51,44.48,1.86
I_CAN01_EU_FN_GIA01_207,424.42,555.63,519.28,535.94,37.77,1.82
I_CAN01_EU_FN_GIA01_208,414.18,1120.39,550.33,526.68,136.62,1.77
I_CAN01_EU_FN_GIA01_209,492.35,893.62,583.46,554.89,90.93,1.85
I_CAN01_EU_FN_GIA01_210,405.16,621.86,557.68,572.40,55.62,1.81
I_CAN01_EU_FN_GIA01_211,281.11,568.30,457.69,502.58,111.35,1.74
I_CAN01_EU_FN_GIA01_212,409.59,667.58,560.39,561.88,57.13,1.71
I_CAN01_EU_FN_GIA01_301,416.87,795.52,607.24,601.68,82.54,1.90
I_CAN01_EU_FN_GIA01_302,411.56,646.39,576.97,589.76,59.91,1.76
I_CAN01_EU_FN_GIA01_303,421.06,646.08,564.47,583.52,58.46,1.83
I_CAN01_EU_FN_GIA01_304,447.50,2888.71,603.44,540.97,401.56,1.82
I_CAN01_EU_FN_GIA01_305,417.23,625.00,530.15,528.76,48.52,1.80
I_CAN01_EU_FN_GIA01_306,392.03,523.06,484.94,495.02,33.44,1.69
I_CAN01_EU_FN_GIA01_307,420.65,2046.43,615.46,547.38,341.02,1.76
I_CLE01_EU_FN_FER01_101,344.94,414.58,390.77,392.72,18.58,2.03
I_CLE01_EU_FN_FER01_102,316.20,441.52,368.10,364.40,33.47,1.97
I_CLE01_EU_FN_FER01_103,262.29,423.82,365.07,365.83,31.94,2.09
